season,product_category,size,B_y1_qty,B_y2_qty,B_exp_carryover
spring,bottom,am,41,38,25.6
spring,bottom,wm,42,38,26.2
spring,bottom,ws,60,27,42.0
spring,bottom,wxs,60,27,42.0
spring,bottom,yl,53,47,30.5
spring,bottom,ym,41,38,25.7
spring,bottom,ys,54,46,31.5
spring,bottom,yxs,68,63,35.3
spring,socks,al,41,37,26.2
spring,socks,am,41,37,26.2
spring,socks,as,41,37,26.2
spring,top,al,41,37,26.2
spring,top,am,41,37,26.2
spring,top,as,41,37,26.2
spring,top,wm,61,31,41.4
spring,top,ws,41,37,26.2
spring,top,wxs,71,64,36.2
spring,top,yl,66,31,44.8
spring,top,ym,60,57,31.9
spring,top,ys,70,67,34.7
winter,bottom,am,46,32,31.2
winter,bottom,am,46,32,31.2
winter,bottom,as,46,32,31.2
winter,bottom,as,46,32,31.2
winter,bottom,yl,46,31,31.1
winter,bottom,yl,72,59,39.1
winter,bottom,ym,22,6,12.7
winter,bottom,ym,18,35,10.0
winter,bottom,ys,18,35,10.0
winter,bottom,ys,18,35,10.0
winter,bottom,yxs,18,35,10.0
winter,bottom,yxs,18,35,10.0
winter,socks,al,18,35,10.0
winter,socks,am,30,47,12.2
winter,socks,as,61,41,38.0
winter,socks,as,112,7,83.5
winter,top,al,78,65,39.4
winter,top,am,97,84,39.3
winter,top,as,118,105,39.4
winter,top,as,75,62,39.7
winter,top,wm,90,55,41.6
winter,top,ws,100,83,41.3
winter,top,wxs,111,94,41.5
winter,top,yl,24,41,11.2
winter,top,yl,30,47,12.2
winter,top,ym,52,62,22.7
winter,top,ym,119,129,22.5
winter,top,ys,197,206,22.8
winter,top,ys,236,245,22.9
winter,top,yxs,135,145,22.5
